,company,name,color,type,ratings,people_review,offer_price,real_price,offer_percent
377,OnePlus,Buds Z2 with Active Noise cancellation Bluetoot...,Obsidian Black, In the Ear,4.2,32911,4999,5999,16
378,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.7,8896,546,1999,72
379,Alfanso,"Earbud White, With (Wireless Charging Case) Blu...",Metallic White, True Wireless,3.6,54,499,1299,61
380,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Black, True Wireless,3.7,6379,799,2599,69
381,OnePlus,Nord Buds Bluetooth Headset,Black Slate, True Wireless,4.3,77759,2499,2999,16
382,Boult,"Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",Pista Green, True Wireless,4.1,22458,1299,2999,56
383,Wings,Phantom 500 with ENC and 40 ms latency game mode ...,Black, True Wireless,4,6185,1299,4999,74
384,Boult,"Audio Maverick with Quad Mic ENC, 45ms Low Latenc...",Black, True Wireless,4,7225,1299,4499,71
385,Aroma,NB119C Carter 48 Hours Playing Time Fast Charging...,Pink, In the Ear,4,66986,395,2299,82
386,KRAZZY,INDIA B11 BLUE Bluetooth without Mic Headset,Blue  Black, In the Ear,3.7,1097,279,599,53
387,U&i,Pro 50Hrs Battery Backup Bluetooth Neckband with Ma...,Red, In the Ear,3.3,18,499,3199,84
388,Boult,"Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",White, True Wireless,4,28901,1199,4999,76
389,TECHFIRE,Fire-155 Neckband hi-bass Wireless Bluetooth h...,TEAL GREEN, In the Ear,3.7,3072,409,1999,79
390,Aroma,NB119 Jersey - 48 Hours Playtime Fast Charging Wi...,Black, In the Ear,3.9,20871,399,2499,84
391,Lichen,B11 Neckband Truly Wireless Bluetooth 5.0 Headph...,Black, In the Ear,4,405147,299,1599,81
392,Aroma,NB119 Freedom - 72 Hours Playtime Bluetooth Neckb...,Orange, In the Ear,3.9,1693,489,2999,83
393,Longway,Beat 512 with Fast Charge and upto 30 Hours Pla...,Black, In the Ear,4.2,845,399,1130,64
394,CIHLEX,CH-125 Latest Headphones Neckband Music Time Bat...,Blue, In the Ear,4.5,6,449,1999,77
395,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.2,14276,1299,4999,74
396,Ucool,Gusto 80 Hours Playtime Wireless Neckband headpho...,Black  Red, In the Ear,4,11962,598,2499,76
397,Earboss,M10 Earbuds/ipod/buds 5.1 Earbuds with 280H Pla...,Black, True Wireless,3.5,11912,599,6999,91
398,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,111172,999,5499,81
399,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Blue, In the Ear,4,49704,799,4499,82
400,Mivi,DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,Blue, True Wireless,3.8,109649,899,2999,70
401,Noise,"Buds VS102 Plus with 70 Hrs Playtime, Environment...",Matte Black, In the Ear,4,29758,1599,3999,60
402,snowbudy,A15 Wireless Earbuds with Support Upto 6-8hrs ...,Black, True Wireless,3.8,394,499,2099,76
403,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,6182,546,1999,72
404,GREEN,BIRD in-Ear Truly Wireless Earbuds with Fast Char...,SKY BLUE, True Wireless,3.5,4639,474,1499,68
405,boAt,Rockerz 255F Pro with Fast Charging Bluetooth Head...,Navy Blue, In the Ear,4.1,412222,1099,3499,68
406,boAt,"Rockerz 378 with Spatial Bionic Sound by THX, ASAP...",Active Black, In the Ear,4,970,1499,3490,57
407,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Black, True Wireless,3.7,6379,799,2599,69
408,Aroma,"NB119 Extreme 100 Hours, Type C Fast Charging Mag...",Blue, In the Ear,3.9,942,783,3299,76
409,Aroma,NB119 Neutron 60 Hours PlayTime With 4 EQ modes F...,Black, In the Ear,3.9,3797,594,2999,80
410,Aroma,NB120 Jam 24 Hours Playtime Bluetooth Neckband Ea...,Yellow, In the Ear,3.8,989,339,1499,77
411,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.7,8896,546,1999,72
412,IZWI,"Premium Wireless Magnetic Neckband, Bluetooth in E...",Black, In the Ear,3.9,194790,499,2490,79
413,Mivi,Collar Classic Neckband with Fast Charging Bluetoo...,Orange, In the Ear,3.7,21,699,2499,72
414,Dozokil,L21 Earbuds/Air-pod/ buds 5.0 Bluetooth Headset,Black, True Wireless,3.8,47151,499,1997,75
415,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,5,3,1099,7999,86
416,MR,ROBOT K1 Wireless Bluetoth Single Ear Headset Earbud...,Black, True Wireless,4,3487,499,999,50
417,FUR,"JADEN AirJams 13mm HD Dynamic Driver, Thumping Bass...",Black, True Wireless,3.6,26,869,3000,71
418,Mayank,"M19 Bluetooth Headset (Black, True Wireless) Blu...",Black, True Wireless,4.2,14276,575,1999,71
419,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.1,19628,1299,4999,74
420,DEFY,"GravityZ with upto 50 Hours Playback, 4 Mic ENC, 1...",Black Fury, In the Ear,4.4,389,1099,2699,59
421,truke,"Buds A1 with 30dB ANC, Quad Mic ENC, 48H Playtime...",Black, True Wireless,4,98,1299,3999,67
422,ZTNY,2023 New Design In-Ear Waterproof Wireless Earphon...,Green, In the Ear,4.1,2992,499,1399,64
423,Mivi,"DuoPods K7 Metallic Finish,AI ENC,50H Playtime,Low...",Galaxy Black, In the Ear,4,6,1299,4999,74
424,CARRON,CH-125 Dilbar - 48 Hour Playtime Bluetooth Headp...,Blue, In the Ear,3.8,4,449,1999,77
425,ZTNY,Wireless Bluetooth Headphones Flexible Neckband wi...,Black, In the Ear,4.1,327645,449,4999,91
426,Lichen,B11 Neckband Truly Wireless Bluetooth 5.0 Headph...,Red Black, In the Ear,3.8,1567,281,1599,82
427,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,4.1,5729,1099,2490,55
428,KRAZZY,INDIA b11 red Bluetooth Headset,Red, In the Ear,4.2,42691,279,999,72
429,Syska,"PACE HE3500 with ENC, Fast Charging, Low Latency ...",Marine Green, In the Ear,3.8,47151,799,2999,73
430,CIHYARD,CH-125 Dilbar - 30 Hours Playtime Bluetooth Nec...,Black, In the Ear,3.9,50,449,1999,77
431,Aroma,NB119 Star - 50 Hours Playtime Bluetooth Neckband...,Black, In the Ear,4,5800,564,2999,81
432,Aroma,NB120 Last 36 Hours Playtime Bluetooth Neckband E...,Red, In the Ear,3.8,598,346,1499,76
433,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.2,14276,1299,4999,74
434,snowbudy,Gaming pro Earbuds Upto 32 Hrs Playtime With 2...,Black BOX BATTERY BACKUP 48 HR, True Wireless,4,58452,599,2670,77
435,truke,"Buds S1 with Quad Mic ENC, 72 Hours Playtime, 10m...",Black, True Wireless,3.4,417,1299,3999,67
436,TRUETAG,M19 TWS Bluetooth 5.1 Wireless Earbuds With 220...,Black, In the Ear,4,49704,789,4999,84
437,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Blue, In the Ear,3.7,324,799,4499,82
438,flying,india New Edition TWS M19 Gaming Earbuds Bluetoo...,Black, True Wireless,4.1,19628,586,2199,73
439,DEFY,"GravityZ with upto 50 Hours Playback, 4 Mic ENC, 1...",Blue Impulse, In the Ear,3.6,54,1099,2699,59
440,Alfanso,"BEATBOX TWS EARBUDS, Bass+ 20 H Playtime & Fast...",Black, True Wireless,4.1,111172,499,1299,61
441,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,3.6,79,999,5499,81
442,JOKIN,single ear Bluetooth hedset Bluetooth Headset,White, In the Ear,3.8,108,299,1299,76
443,CARRON,CH-106 Tiger - 48 Hour Playtime Bluetooth Headph...,Grey  Green, In the Ear,3.9,4699,569,1999,71
444,TECHFIRE,Fire 200 PRO Neckband hi-bass Wireless Bluetoo...,Blue, In the Ear,4.2,14276,449,3850,88
445,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,3.5,706,1299,4999,74
446,CARRON,CH-125 Dilbar - 48 Hour Playtime Bluetooth Headp...,Red, In the Ear,4.5,22,449,1999,77
447,U&i,Melody 48Hrs Battery Backup Bluetooth Neckband with...,Yellow, In the Ear,3.8,3276,399,2199,81
448,HOPPUP,"ALPHA Neckband with 50H Playtime, Gaming Mode, E...",Black, In the Ear,3.8,47151,499,1499,66
449,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,4.1,245,1099,7999,86
450,LEAF,Move X142 Bluetooth Headset,Carbon Black, In the Ear,3.9,3975,899,1999,55
451,U&i,Burn Series Single Ear Business Headset Bluetooth H...,Black, In the Ear,3.8,27,449,1699,73
452,Earboss,"Z11 Earbuds with Gaming Pods, 200H Playtime, Qu...",Black, True Wireless,3.8,47151,799,4999,84
453,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Grey, True Wireless,4.3,1367,1099,7999,86
454,truke,"Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...",Black, True Wireless,3.8,15087,1499,3499,57
455,boAt,"Airdopes 100 with 50 Hours Playback, Quad Mics ENx...",Sapphire Blue, In the Ear,3.7,885,1399,4490,68
456,blue,seed M19 Bluetooth 5.1 Wireless Earbuds Touch Wate...,Black, True Wireless,4,7225,579,1599,63
457,Boult,"Audio Maverick with Quad Mic ENC, 45ms Low Latenc...",Black, True Wireless,4,634,1299,4499,71
458,DigiClues,"Gaming Pro P30 with ENC HD+ Calling, Deep Bas...",Black, True Wireless,4,257,987,7999,87
459,KDM,A-2 sport 59 hour Bluetooth Headset,Black, In the Ear,4.1,4196,862,1900,54
460,Ubon,"Club Series CL-80 With In-Built MIic,Upto 45Hour P...",Green, In the Ear,4,28901,899,2999,70
461,Boult,"Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",White, True Wireless,3.9,3797,1199,4999,76
462,Aroma,NB119 Neutron 60 Hours PlayTime With 4 EQ modes F...,Orange, In the Ear,3.8,10586,594,2999,80
463,Ucool,Soul 100 Hours Playtime Wireless Neckband Earphon...,Blue, In the Ear,3.7,7649,649,2499,74
464,realme,Buds Wireless Pro with Active Noise Cancellation...,Yellow, In the Ear,4,405147,2999,5999,50
465,Boult,"Audio Curve with BoomX Rich Bass, Flexi-band, Mag...",Blue  Black  Grey, In the Ear,3.8,21,699,3499,80
466,SUCHETA,20 Hours Playtime Neckband Bluetooth Headset,Black, In the Ear,3.9,2432,449,1999,77
467,Ucool,Sport 50 Hours Backup Wireless Neckband Bluetooth...,Blue, In the Ear,4.1,94,759,7999,90
468,UPOZA,"BTH F9 Pro Earbuds with ENC HD+ Calling, Deep Bas...",Black, True Wireless,4.1,2992,1299,4999,74
469,ZEBRONICS,Zeb Yoga 90 Plus Bluetooth Headset,Red  Black, In the Ear,4,447,799,2299,65
470,Syska,"PACE HE3500 with ENC, Fast Charging, Low Latency ...",Marine Green, In the Ear,4.1,5729,799,2999,73
471,Mivi,DuoPods M30 earbuds with 42 hours of playtime | Ma...,Beige, True Wireless,3.7,74252,799,2999,73
472,Aroma,NB137 Nexon 16 Hours* Playtime Deep Bass True Wir...,White  Silver, True Wireless,3.7,3128,499,1499,66
473,Aroma,NB140 Dhamaal 24 Hours* Playtime | Deep Bass | Ma...,Baby Pink, True Wireless,3.6,871,559,1999,72
474,flying,india New Edition TWS M19 Gaming Earbuds Bluetoo...,Black, True Wireless,3.7,324,586,2199,73
475,Ggkart,K1 BLACK Bluetooth Headset Bluetooth Headset,Black, In the Ear,3.6,374,250,1199,79
476,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,6182,546,1999,72
477,blue,seed M19 Bluetooth 5.1 Wireless Earbuds Touch Wate...,Black, True Wireless,3.7,885,579,1599,63
478,FUR,"JADEN AirJams 13mm HD Dynamic Driver, Thumping Bass...",Black, True Wireless,4,3487,869,3000,71
479,TECHFIRE,Fire 200 PRO Neckband hi-bass Wireless Bluetoo...,Blue, In the Ear,3.9,4699,449,3850,88
480,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Blue, In the Ear,4,20048,699,1999,65
481,Wings,Phantom 205 Neck band with touch controls Bluetoo...,Grey, In the Ear,4,3399,899,2999,70
482,CARRON,CH-125 Dilbar - 48 Hour Playtime Bluetooth Headp...,Blue, In the Ear,4,6,449,1999,77
483,LEAF,Move X142 Bluetooth Headset,Carbon Black, In the Ear,4.1,245,899,1999,55
484,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,111172,999,5499,81
485,MR,ROBOT Premium B11 Neckband Bluetooth Headset Earphon...,Blue, In the Ear,3.2,178,429,2199,80
486,Ucool,Soul 100 Hours Playtime Wireless Neckband Earphon...,Blue, In the Ear,3.8,10586,649,2499,74
487,Ucool,Beast 100 Hours Playtime Bluetooth Wireless Neckb...,Black, In the Ear,3.8,1801,649,2999,78
488,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.7,8896,546,1999,72
489,Alfanso,"BEATBOX TWS EARBUDS, Bass+ 20 H Playtime & Fast...",Black, True Wireless,3.6,54,499,1299,61
490,truke,"Buds A1 with 30dB ANC, Quad Mic ENC, 48H Playtime...",Black, True Wireless,4.4,389,1299,3999,67
491,Highnotes,M19 Earbuds/TWS/buds 5.1 Earbuds with 280H Pl...,Black, True Wireless,3.6,1319,668,7999,91
492,Boult,"Audio Gearpods with 32H Playtime, Fast Charging, ...",White, True Wireless,3.7,147072,899,5999,85
493,GREEN,BIRD in-Ear Truly Wireless Earbuds with Fast Char...,Blue, True Wireless,3.5,4639,480,1499,67
494,PTron,"Basspods Encore TWS Earbuds, 50H Playtime, Quad M...",Blue, In the Ear,4.1,2128,1199,3499,65
495,ORAIMO,"Airbuds 3 Earbuds with ENC, up to 20 hours Playb...",Blue, True Wireless,4,7050,899,2500,64
496,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,14276,1299,4999,74
497,flying,india Exclusive Gaming Earbuds M28 Upto 48 Hours...,Black, True Wireless,3.8,50,693,2199,68
